2026-05-16 12:40:34,791 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'backend.app.repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:40:36,844 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'backend.app.repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:40:36,848 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'backend.app.repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:40:36,901 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'backend.app.repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:43:29,149 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:43:50,950 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:43:50,952 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:43:50,965 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:46:39,039 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:46:48,848 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:46:48,851 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:46:48,869 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:51:19,310 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'backend.app.repositories.session_repository' has no attribute 'get_all_sessions_metadata'
2026-05-16 12:51:22,790 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'backend.app.repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:51:22,793 | ERROR    | ITS_App:63 | AgentService.process_query执行出错: module 'backend.app.repositories.session_repository' has no attribute 'load_session'
2026-05-16 12:51:22,810 | ERROR    | ITS_App:76 | 获取用户 root1 的会话数据时出错: module 'backend.app.repositories.session_repository' has no attribute 'get_all_sessions_metadata'
